"Dataset","Subset","DV","intensity_measure","N","eff_5_95_no_intensity_ST","eff_5_95_with_intensity_ST","pct_reduction","duration_intensity_correlation","concurvity_dur_intensity"
"CSJ Monologue","all","F0_range_ST","Intensity_Max",93156,2.162,2.09,3.4,0.061,NA
"CSJ Monologue","all","F0_range_ST","Intensity_Mean",93156,2.162,2.183,-1,-0.054,NA
"CSJ Monologue","all","F0_excursion_LM_ST","Intensity_Max",93151,1.757,1.694,3.6,0.062,NA
"CSJ Monologue","all","F0_excursion_LM_ST","Intensity_Mean",93151,1.757,1.775,-1,-0.053,NA
"CSJ Monologue","accent_nucleus_strict","F0_range_ST","Intensity_Max",14456,2.562,2.478,3.3,0.116,NA
"CSJ Monologue","accent_nucleus_strict","F0_range_ST","Intensity_Mean",14456,2.562,2.555,0.3,0.023,NA
"CSJ Monologue","accent_nucleus_strict","F0_excursion_LM_ST","Intensity_Max",14456,2.068,1.999,3.4,0.116,NA
"CSJ Monologue","accent_nucleus_strict","F0_excursion_LM_ST","Intensity_Mean",14456,2.068,2.066,0.1,0.023,NA
"Buckeye","all","F0_range_ST","Intensity_Max",274271,1.976,1.905,3.6,0.038,NA
"Buckeye","all","F0_range_ST","Intensity_Mean",274271,1.976,2.036,-3,-0.074,NA
"Buckeye","all","F0_excursion_LM_ST","Intensity_Max",274239,1.484,1.423,4.2,0.038,NA
"Buckeye","all","F0_excursion_LM_ST","Intensity_Mean",274239,1.484,1.536,-3.5,-0.073,NA
"CSJ Dialogue","all","F0_range_ST","Intensity_Max",24734,1.901,1.832,3.6,0.074,NA
"CSJ Dialogue","all","F0_range_ST","Intensity_Mean",24734,1.901,2.017,-6.1,-0.07,NA
"CSJ Dialogue","all","F0_excursion_LM_ST","Intensity_Max",24732,1.441,1.382,4.1,0.074,NA
"CSJ Dialogue","all","F0_excursion_LM_ST","Intensity_Mean",24732,1.441,1.541,-6.9,-0.07,NA
"CSJ Dialogue","accent_nucleus_strict","F0_range_ST","Intensity_Max",4092,2.194,2.096,4.5,0.119,NA
"CSJ Dialogue","accent_nucleus_strict","F0_range_ST","Intensity_Mean",4092,2.194,2.251,-2.6,-0.009,NA
"CSJ Dialogue","accent_nucleus_strict","F0_excursion_LM_ST","Intensity_Max",4092,1.724,1.639,4.9,0.119,NA
"CSJ Dialogue","accent_nucleus_strict","F0_excursion_LM_ST","Intensity_Mean",4092,1.724,1.773,-2.8,-0.009,NA
