"corpus","speaker","eff595_wo_speaker"
"CSJ Monologue","A01F0055",1.748
"CSJ Monologue","A01F0067",1.812
"CSJ Monologue","A01F0122",1.763
"CSJ Monologue","A01F0132",1.725
"CSJ Monologue","A01F0143",1.795
"CSJ Monologue","A01F0145",1.788
"CSJ Monologue","A02M0098",1.73
"CSJ Monologue","A06F0028",1.768
"CSJ Monologue","A06F0049",1.774
"CSJ Monologue","A06F0073",1.75
"CSJ Monologue","A06F0075",1.725
"CSJ Monologue","A06F0120",1.757
"CSJ Monologue","A06F0128",1.751
"CSJ Monologue","S00M0115",1.737
"CSJ Monologue","S00M0117",1.748
"CSJ Monologue","S00M0153",1.764
"CSJ Monologue","S00M0199",1.752
"CSJ Monologue","S00M0213",1.703
"CSJ Monologue","S00M0218",1.711
"CSJ Monologue","S02F0121",1.746
"CSJ Monologue","S02F0129",1.725
"CSJ Monologue","S02F0180",1.78
"CSJ Monologue","S02F0189",1.727
"CSJ Monologue","S02M0011",1.766
"CSJ Monologue","S02M0043",1.77
"CSJ Monologue","S03M0046",1.758
"CSJ Monologue","S03M0089",1.752
"CSJ Monologue","S03M0098",1.739
"CSJ Monologue","S03M0106",1.752
"CSJ Monologue","S03M0141",1.745
"CSJ Monologue","S03M0194",1.761
"Buckeye","s01",1.505
"Buckeye","s02",1.448
"Buckeye","s03",1.464
"Buckeye","s04",1.489
"Buckeye","s05",1.483
"Buckeye","s06",1.502
"Buckeye","s07",1.482
"Buckeye","s08",1.477
"Buckeye","s09",1.498
"Buckeye","s10",1.471
"Buckeye","s11",1.481
"Buckeye","s12",1.479
"Buckeye","s13",1.507
"Buckeye","s14",1.503
"Buckeye","s15",1.476
"Buckeye","s16",1.497
"Buckeye","s17",1.475
"Buckeye","s18",1.502
"Buckeye","s19",1.455
"Buckeye","s20",1.485
"Buckeye","s21",1.5
"Buckeye","s22",1.484
"Buckeye","s23",1.491
"Buckeye","s24",1.5
"Buckeye","s25",1.482
"Buckeye","s26",1.491
"Buckeye","s27",1.473
"Buckeye","s28",1.487
"Buckeye","s29",1.502
"Buckeye","s30",1.482
"Buckeye","s31",1.496
"Buckeye","s32",1.497
"Buckeye","s33",1.491
"Buckeye","s34",1.495
"Buckeye","s35",1.504
"Buckeye","s36",1.494
"Buckeye","s37",1.489
"Buckeye","s38",1.485
"Buckeye","s39",1.494
"Buckeye","s40",1.502
"CSJ Dialogue","D01F0002",1.451
"CSJ Dialogue","D01F0023",1.381
"CSJ Dialogue","D01F0030",1.474
"CSJ Dialogue","D01M0009",1.432
"CSJ Dialogue","D01M0019",1.48
"CSJ Dialogue","D01M0047",1.389
"CSJ Dialogue","D02F0015",1.476
"CSJ Dialogue","D02F0025",1.39
"CSJ Dialogue","D02F0031",1.474
"CSJ Dialogue","D02M0028",1.41
"CSJ Dialogue","D02M0039",1.45
"CSJ Dialogue","D02M0051",1.438
"CSJ Dialogue","D04F0022",1.382
"CSJ Dialogue","D04F0044",1.474
"CSJ Dialogue","D04F0050",1.411
"CSJ Dialogue","D04M0010",1.431
"CSJ Dialogue","D04M0052",1.379
"CSJ Dialogue","D04M0056",1.511
