"Dataset","definition","N","n_speakers","eff_range_5_95_st","slope_per_100ms_st","fit_at_p5_st","fit_at_p95_st","sign_p5_minus_p95_st","direction_label","exceeds_JND_1.0","exceeds_JND_1.5"
"CSJ Monologue","maxmin",93156,31,2.162,0.4523,-2.054,0.139,-2.193,"shrinks_when_fast",TRUE,TRUE
"CSJ Monologue","p95p5",93156,31,1.827,0.2733,-1.606,0.247,-1.853,"shrinks_when_fast",TRUE,TRUE
"CSJ Monologue","winsor",92952,31,2.161,0.4471,-2.044,0.147,-2.191,"shrinks_when_fast",TRUE,TRUE
"CSJ Monologue","landmark",93151,31,1.757,0.2502,-1.539,0.244,-1.783,"shrinks_when_fast",TRUE,TRUE
"CSJ Monologue","maxmin_clean",91726,31,2.03,0.347,-1.878,0.181,-2.059,"shrinks_when_fast",TRUE,TRUE
"Buckeye","maxmin",274271,40,1.976,0.5575,-1.883,0.126,-2.009,"shrinks_when_fast",TRUE,TRUE
"Buckeye","p95p5",274271,40,1.629,0.3963,-1.49,0.166,-1.656,"shrinks_when_fast",TRUE,TRUE
"Buckeye","winsor",273608,40,1.967,0.5516,-1.872,0.127,-1.999,"shrinks_when_fast",TRUE,TRUE
"Buckeye","landmark",274239,40,1.484,0.3845,-1.388,0.122,-1.51,"shrinks_when_fast",TRUE,FALSE
"Buckeye","maxmin_clean",258286,40,1.899,0.529,-1.828,0.106,-1.934,"shrinks_when_fast",TRUE,TRUE
"CSJ Dialogue","maxmin",24734,18,1.901,0.4397,-1.65,0.278,-1.929,"shrinks_when_fast",TRUE,TRUE
"CSJ Dialogue","p95p5",24734,18,1.58,0.2894,-1.322,0.282,-1.604,"shrinks_when_fast",TRUE,TRUE
"CSJ Dialogue","winsor",24672,18,1.919,0.442,-1.66,0.289,-1.949,"shrinks_when_fast",TRUE,TRUE
"CSJ Dialogue","landmark",24732,18,1.441,0.2374,-1.186,0.278,-1.464,"shrinks_when_fast",TRUE,FALSE
"CSJ Dialogue","maxmin_clean",23784,18,1.834,0.4338,-1.638,0.242,-1.88,"shrinks_when_fast",TRUE,TRUE
